originalName,commonName
"Coleman, CLaire L","Claire Coleman"
"Coleman, Claire L","Claire Coleman"
ColemanCL@state.gov,"Claire Coleman"
"Colman, Claire L","Claire Coleman"
"Colin Powell","Colin Powell"
Congress,Congress
"Council on Foreign Relations","Council on Foreign Relations"
Counselor,Counselor
"Beale, Courtney A Karamer","Courtney Beale"
"Beale, Courtney A Kramer","Courtney Beale"
bealeca@state.gov,"Courtney Beale"
"Kelly, Craig A","Craig Kelly"
DSA,DSA
"Daily Sun","Daily Sun"
FeldmanDF@state.gov,"Dan Feldman"
"SSRAP:Feldman, Dan","Dan Feldman"
schwerind@state.gov,"Dan Schwerin"
"Hyde, Dana","Dana Hyde"
Daniel,Daniel
"Baer, Daniel","Daniel Baer"
"Baer, Daniel B","Daniel Baer"
"Baer, Daniel D","Daniel Baer"
baer.daniel,"Daniel Baer"
daniel.baer,"Daniel Baer"
"Feldman, Daniel F","Daniel Feldman"
"Fried, Daniel","Daniel Fried"
friedd@state.gov,"Daniel Fried"
"Inonye, Daniel","Daniel Inonye"
"Schwerin, Daniel B","Daniel Schwerin"
SchwerinDB@state.gov,"Daniel Schwerin"
"Shapiro, Daniel B","Daniel Shapiro"
ShapiroDB@state.gov,"Daniel Shapiro"
"Smith, Daniel B","Daniel Smith"
DanielJJ@state.gov,DanielJJ@state.gov
"Brian, Danielle","Danielle Brian"
"Adams, David S","David Adams"
AdamsDS@state.gov,"David Adams"
"Axelrod, David M","David Axelrod"
Axelrod_D,"David Axelrod"
"Brock, David","David Brock"
David_Garten@lautenberg.senate.gov,"David Garten"
"Garten, David (Lautenberg)","David Garten"
"Hale, David M","David Hale"
HaleDM2@state.gov,"David Hale"
"INL:Johnson, David T","David Johnson"
d.gunners2010,"David Miliband"
davidmilibandpersonal,"David Miliband"
"Graze, Deborah E","Deborah Graze"
Dennis_B._Ross,"Dennis Ross"
"Ross, Dennis","Dennis Ross"
"Ross, Dennis B","Dennis Ross"
"Ross, Dennis B.","Dennis Ross"
"Department of State","Department of State"
"Chollet, Derek H","Derek Chollet"
cholletdh@state.gov,"Derek Chollet"
"Mitchell, Derek","Derek Mitchell"
"Diane, Reynolds","Diane Reynolds"
"Reynolds, Diane","Diane Reynolds"
"EUR/RPM:Vovchuk, Dmitry","Dmitry Vovchuk"
donald,Donald
"Band, Doug","Doug Band"
"Hattaway, Doug","Doug Hattaway"
dhattaway,"Doug Hattaway"
doug,"Doug Hattaway"
Dross,Dross
"Pelton, E","E. Pelton"
EEAS,EEAS
"Politico - Drew, Elizabeth","Elizabeth Drew"
"Tauscher, Ellen O","Ellen Tauscher"
tauschereo@state.gov,"Ellen Tauscher"
"Embassy of Argentine Republic","Embassy of the Argentine Republic"
"Embassy of the Argentine Republic","Embassy of the Argentine Republic"
"Faleomavaega, Eni F","Eni Faleomavaega"
"Goosby, Eric","Eric Goosby"
SchwartzEP@state.gov,"Eric Schwartz"
"Woodard, Eric W","Eric Woodard"
woodardEW2@state.gov,"Eric Woodard"
"Brimmer, Esther D","Esther Brimmer"
brimmere@state.gov,"Esther Brimmer"
FICC,FICC
"FINCA International","FINCA International"
"Kamali, Farideh","Farideh Kamali"
"Levin, Fay Hartog","Fay Hartog Levin"
"Foreign Affairs Magazine","Foreign Affairs Magazine"
"Ricciardone, Francis J","Francis Ricciardone"
"CA/VO:Sheaffer, G","G Sheaffer"
"PRM/MCE:Wills, G","G Wills"
"Lou de Bac, G/TIP","G. Lou de Bac"
"PRM/MCE:Wills,G","G. Wills"
GOPK,GOPK
"Gensler, Gary","Gary Gensler"
Gentlemen,Gentlemen
"Keating, Geoffrey T","Geoffrey Keating"
"Mitchell, George","George Mitchell"
mitchellg@state.gov,"George Mitchell"
"Seib, Gerald F","Gerald Seib"
"Rose, Gideon","Gideon Rose"
"Glantz, Gina","Gina Glantz"
glantz.,"Gina Glantz"
"Gray, Gordon","Gorden Gray"
"Govenman Etazini","Govenman Etazini"
"Graca Machel Trust","Graca Machel Trust"
Haiti,Haiti
"Haiti DLC Distro","Haiti DLC Distro"
"Duk-soo, Han","Han Duk-soo"
"Koh, Harold Hongju","Harold Hongju Koh"
KohHH@state.gov,"Harold Hongju Koh"
kohhh@state.gov,"Harold Hongju Koh"
Harry.B.Harris,"Harry Harris"
"Reid, Harry","Harry Ried"
"Samuelson, Heather","Heather Samuelson"
"Samuelson, Heather F","Heather Samuelson"
Heintz,Heintz
"Kissinger, Henry","Henry Kissinger"
"Kissinger, Henry A","Henry Kissinger"
Hill,Hill
;H,"Hillary Clinton"
Clinton,"Hillary Clinton"
"Clinton Hillary R","Hillary Clinton"
"Clinton Rodham, Hillary","Hillary Clinton"
"Clinton, Hillary","Hillary Clinton"
"Clinton, Hillary R","Hillary Clinton"
"Clinton, Hillary Rodham","Hillary Clinton"
H,"Hillary Clinton"
H2,"Hillary Clinton"
HRC,"Hillary Clinton"
Haillary,"Hillary Clinton"
Hillary,"Hillary Clinton"
"Hillary Rodham Clinton","Hillary Clinton"
"Madam Secretary","Hillary Clinton"
Secretary,"Hillary Clinton"
"Secretary Clinton","Hillary Clinton"
"Secretary of State","Hillary Clinton"
hr15@mycingular.blackberry.net,"Hillary Clinton"
hrod17@clintonemail.com,"Hillary Clinton"
"H; Mills, Cheryl D","Hillary Clinton ;Cheryl Mills"
H;preines,"Hillary Clinton; Philippe Reines"
"preines; H","Hillary Clinton; Philippe Reines"
"Stringer, Howard","Howard Stringer"
"Abedin, Huma","Huma Abedin"
AbedinH@state.gov,"Huma Abedin"
Abedinh@state.gov,"Huma Abedin"
"Abein, Huma","Huma Abedin"
"Abendin, Huma","Huma Abedin"
"Adedin, Huma","Huma Abedin"
HAbedin,"Huma Abedin"
"Huma Abedin","Huma Abedin"
"Huma, Abedin","Huma Abedin"
Huma@clintonemail.com,"Huma Abedin"
Humamabedin,"Huma Abedin"
abedin@state.gov,"Huma Abedin"
abedinH@state.gov,"Huma Abedin"
abedinh@state.gov,"Huma Abedin"
abedinh@state;gov,"Huma Abedin"
abendinh@state.gov,"Huma Abedin"
adedinh@state.gov,"Huma Abedin"
"Abedin, Huma; H","Huma Abedin; Hillary Clinton"
IRS,IRS
"Director of Communication, ISAF and USFOR-A","ISAF and USFOR-A Director of Communication"
"Kelly, Ian","Ian Kelly"
Ivalmoro,Ivalmoro
"Atwood, J Brian","J Brian Atwood"
"DS/PA:Finkle, J","J. Finkle"
JAMA,JAMA
JLCOS,JLCOS
JVillarreal,JVillarreal
"Lew, Jack","Jack Lew"
"Newmyer, Jackie","Jackie Newmyer"
newmyer,"Jackie Newmyer"
Jacob_J_Lew,"Jacob Lew"
Lew,"Jacob Lew"
"Lew, Jacob","Jacob Lew"
"Lew, Jacob J","Jacob Lew"
"Lew, jack","Jacob Lew"
LewJJ@state.gov,"Jacob Lew"
jacobjlew,"Jacob Lew"
lewjj@state.gov,"Jacob Lew"
"Jake Sullivan","Jake Sullivan"
Jake.Sullivan,"Jake Sullivan"
Jake.sullivan,"Jake Sullivan"
"S/P:Sullivan, Jake","Jake Sullivan"
"Sulilvan, Jacob J","Jake Sullivan"
"Sullivan JJ@state.gov","Jake Sullivan"
"Sullivan, Jacbo J","Jake Sullivan"
"Sullivan, Jack","Jake Sullivan"
"Sullivan, Jacob","Jake Sullivan"
"Sullivan, Jacob H","Jake Sullivan"
"Sullivan, Jacob J","Jake Sullivan"
"Sullivan, Jake","Jake Sullivan"
"Sullivan, Jake J","Jake Sullivan"
"Sullivan, Jake; H","Jake Sullivan"
"Sullivan. Jacob J","Jake Sullivan"
SullivanJJ@state.gov,"Jake Sullivan"
"jake. sullivan","Jake Sullivan"
jake.sullivan,"Jake Sullivan"
jake.sullivan@,"Jake Sullivan"
sullilvanjj@state.gov,"Jake Sullivan"
sullivanJJ@state.gov,"Jake Sullivan"
sullivanjj,"Jake Sullivan"
sullivanjj@state.gov,"Jake Sullivan"
sullivanjj@state/gov,"Jake Sullivan"
sulllivanjj@state.gov,"Jake Sullivan"
"McGovern, James P","James McGovern"
"Rubin, James","James Rubin"
"Rubin, James P","James Rubin"
"Rubin, James P.","James Rubin"
"Smith, James E","James Smith"
"Steinberg, James","James Steinberg"
"Steinberg, James B","James Steinberg"
SteinbergJB@state.gov,"James Steinberg"
SteinbertJB@state.gov,"James Steinberg"
Jamie,Jamie
"Radice, Jamie","Jamie Radice"
jpiercy,"Jan Piercy"
"Jacobs, Janice L","Janice Jacobs"
"H/RGF:Epping, Jay","Jay Epping"
"Borns, Jeff","Jeff Borns"
"Farrow, Jeffrey","Jeffrey Farrow"
"Farrow, Jeffrey F","Jeffrey Farrow"
"Farrow, Jeffrey L","Jeffrey Farrow"
jfarrow,"Jeffrey Farrow"
"Feltman, Jeffrey D","Jeffrey Feltman"
feltmanjd@state.gov,"Jeffrey Feltman"
"Davis, Jennifer L","Jennifer Davis"
DavisJL4@state.gov,"Jennifer Davis"
"Robinson, Jennifer","Jennifer Robinson"
"Iscol, Jill","Jill Iscol"
jilliscol,"Jill Iscol"
"Hoagland, Jim","Jim Hoagland"
"Kennedy, Jim","Jim Kennedy"
"Laszczych, Joanne","Joanne Laszczych"
LaszczychJ@state.gov,"Joanne Laszczych"
Laszczychj@state.gov,"Joanne Laszczych"
"Wilson, Joe","Joe Wilson"
"Kerry, John","John Kerry"
senjohnkerry,"John Kerry"
"Martilla, John","John Martilla"
"Olver, John","John Olver"
"Podesta, John","John Podesta"
jpodesta,"John Podesta"
"Pakistan Desk:Spykerman, John","John Spykerman"
"Carson, Johnnie","Johnnie Carson"
Carsonj@state.gov,"Johnnie Carson"
carsonj@state.gov,"Johnnie Carson"
"Toribiong, Johnson","Johnson Toribiong"
"Davidson, Jon","Jon Davidson"
"Kyl, Jon","Jon Kyl"
"Jonathan Prince","Jonathan Prince"
"Soros, Jonathan","Jonathan Soros"
"Kruzich, Joseph","Joseph Kruzich"
"Macmanus, Joseph E","Joseph Macmanus"
MacmanusJE2@state.gov,"Joseph Macmanus"
macmanusje2@state.gov,"Joseph Macmanus"
"Wilson, Joseph","Joseph Wilson"
"Daniel, Joshua J","Joshua Daniel"
Judith,Judith
"Kieffer, Judith","Judith Kieffer"
"McHald, Judith A","Judith McHale"
"McHale, Judith","Judith McHale"
"McHale, Judith  A","Judith McHale"
"McHale, Judith A","Judith McHale"
McHaleJA@state.gov,"Judith McHale"
"Mchale, Judith A","Judith McHale"
judithmchale,"Judith McHale"
mchaelja@state.gov,"Judith McHale"
mchaleja@state.gov,"Judith McHale"
"Lantz, Judson","Judson Lantz"
"Short, Julie A","Julie Short"
"Cooper, Justin","Justin Cooper"
"Sincavage, Justine","Justine Sincavage"
KPK,KPK
"Kabul LGF Request","Kabul LGF Request"
"DRL:Stewart, Karen B","Karen Stewart"
"Eikenberry, Karl W","Karl Eikenberry"
"Marton, Kati","Kati Marton"
"Brownell, Kelly D","Kelly Brownell"
KellyC@state.gov,KellyC@state.gov
"MacAskill, Kenny","Kenny MacAskill"
"Conrad, Kent","Kent Conrad"
"Lang, Kimberly C.","Kimberly Lang"
klang,"Kimberly Lang"
BaldersonKM@state.gov,"Kris Balderston"
"Balderston, Kris M","Kris Balderston"
"Balderstone, Kris M","Kris Balderston"
balderstonkm@state.gov,"Kris Balderston"
"Campbell, Kurt M","Kurt Campbell"
CampbellKM@state.gov,"Kurt Campbell"
Kussa,Kussa
"EAP/K:Rosenberger, L","L. Rosenberger"
LGraham,LGraham
"Davis, Lanny","Lanny Davis"
"Davis, Lanny J","Lanny Davis"
ldavis,"Lanny Davis"
"Pena, Laura","Laura Pena"
"Tyson, Laura","Laura Tyson"
"Jilloty, Lauren C","Lauren Jiloty"
JillotyLC@state.gov,"Lauren Jiloty"
"Jiloty, Cheryl D","Lauren Jiloty"
"Jiloty, Laruen C","Lauren Jiloty"
"Jiloty, Lauren","Lauren Jiloty"
"Jiloty, Lauren C","Lauren Jiloty"
"Jiloty, Lauren CD","Lauren Jiloty"
"Jiloty, Lauren c","Lauren Jiloty"
"Jiloty. Lauren C","Lauren Jiloty"
JilotyLC@state.con,"Lauren Jiloty"
JilotyLC@state.gov,"Lauren Jiloty"
JilotylC@state.gov,"Lauren Jiloty"
Jilotylc@state.gov,"Lauren Jiloty"
"Jjiloty, Lauren C","Lauren Jiloty"
JjilotyLC@state.gov,"Lauren Jiloty"
"Lauren Jiloty","Lauren Jiloty"
LaurenJiloty,"Lauren Jiloty"
Laurenjiloty,"Lauren Jiloty"
jilotyLC@state.gov,"Lauren Jiloty"
laurenjiloty,"Lauren Jiloty"
"Rubiner, Laurie","Laurie Rubiner"
"Brown, Lee R","Lee Brown"
"Feinstein, Lee","Lee Feinstein"
"Dewan, Linda L","Linda Dewan"
captuol,"Lisa Caputo"
caputol,"Lisa Caputo"
Imuscatine,"Lissa Muscatine"
"Lissa, Muscatine","Lissa Muscatine"
Lmuscatine,"Lissa Muscatine"
"Muscantine, LIssa","Lissa Muscatine"
"Muscantine, Lissa","Lissa Muscatine"
"Muscatine Lissa","Lissa Muscatine"
"Muscatine, Lisa","Lissa Muscatine"
"Muscatine, Lissa","Lissa Muscatine"
"Muscatine,Lissa","Lissa Muscatine"
"Muscatine. Lissa","Lissa Muscatine"
MuscatineL@state.gov,"Lissa Muscatine"
lmuscatine,"Lissa Muscatine"
mucatinel@state.gov,"Lissa Muscatine"
muscantinel@state.gov,"Lissa Muscatine"
muscatinel@state.gov,"Lissa Muscatine"
List,List
"Sherwood-Randall, Liz","Liz Sherwood-Randall"
"Quam, Lois","Lois Quam"
"Quam, Lois E","Lois Quam"
lois.quam,"Lois Quam"
loisquam,"Lois Quam"
"Lona Valmoro","Lona Valmoro"
Lvalmoro,"Lona Valmoro"
"ValMoro, Lona J","Lona Valmoro"
ValmmoroLJ@state.gov,"Lona Valmoro"
ValmoeoLJ@state.gov,"Lona Valmoro"
"Valmoro, Lona","Lona Valmoro"
"Valmoro, Lona J","Lona Valmoro"
"Valmoro. Lona J","Lona Valmoro"
ValmoroLI@state.gov,"Lona Valmoro"
ValmoroLJ@state.gov,"Lona Valmoro"
ValmoroLj@state.gov,"Lona Valmoro"
Valmorolj@state.gov,"Lona Valmoro"
"Walmoro, Lona J","Lona Valmoro"
valmoroLJ@state.gov,"Lona Valmoro"
"Long Term Strategy Group","Long Term Strategy Group"
"Diamond, Louise","Louise Diamond"
"Cue, Lourdes C","Lourdes Cue"
"Jarvis, Lucy","Lucy Jarvis"
"G/TIP:CdeBaca, Luis","Luis CdeBaca"
Luzzatto,Luzzatto
lynn,"Lynn Forester de Rothschild"
"Hybels, Lynne","Lynne Hybels"
"Mullen, M G","M G Mullen"
"Albright, M K","M. Albright"
"MISSION PK","MISSION PK"
MMonroe,MMonroe
"McLarty, Mack","Mack McLarty"
"Albright, Madeleine","Madeleine Albright"
Williamsbarrett,"Maggie Williams"
ManTech,ManTech
"Mottaki, Manouchehr","Manouchehr Mottaki"
"S/SRAP:Grossman, Marc","Marc Grossman"
grossmanMI@state.gov,"Marc Grossman"
"Nathanson, Marc","Marc Nathanson"
"Carpenter, Margaret V W","Margaret Carpenter"
carpentermv@state.gov,"Margaret Carpenter"
"Calivis, Maria","Maria Calivis"
"Otero, Maria","Maria Otero"
oterom2@state.gov,"Maria Otero"
"Sand, Maria W","Maria Sand"
SandMW@state.gov,"Maria Sand"
"AF/PDPA:Scott, Marianne","Marianne Scott"
mark,"Mark Hyman"
"Penn, Mark J","Mark Penn"
markjpenn,"Mark Penn"
"Pinsky, Mark","Mark Pinsky"
"Indyk, Martin","Martin Indyk"
"Edelman, Marty","Marty Edelman"
mtorrey,"Marty Torrey"
"ECA:Pally, Maura","Maura Pally"
"Pally, Maura M","Maura Pally"
"Baucus, Max","Max Baucus"
"Rooney, Megan","Megan Rooney"
RooneyM@state.gov,"Megan Rooney"
Rooneym@state.gov,"Megan Rooney"
megrooney,"Megan Rooney"
PVerveer,"Melanne Verveer"
"Vereer, Melanne S","Melanne Verveer"
"Verveer, Melanne","Melanne Verveer"
"Verveer, Melanne E","Melanne Verveer"
"Verveer, Melanne S","Melanne Verveer"
VerveerMS@state.gov,"Melanne Verveer"
Verveerms@state.gov,"Melanne Verveer"
verveems@state.gov,"Melanne Verveer"
verveerms@state.gov,"Melanne Verveer"
"Member of Congress","Member of Congress"
"Fuchs, Michael H","Michael Fuchs"
FuchsMH@state.gov,"Michael Fuchs"
mfuchs.mike,"Michael Fuchs"
"Hammer, Michael A","Michael Hammer"
"McFaul, Michael A","Michael McFaul"
"Posner, Michael H","Michael Posner"
PosnerMH@state.gov,"Michael Posner"
"Bond, Michele T","Michele Bond"
"Flournoy, Michele","Michele Flournoy"
michele.flournoy,"Michele Flournoy"
"Rodriguez, Miguel","Miguel Rodriguez"
"Rodriguez, Miguel E","Miguel Rodriguez"
RodriguezME@state.gov,"Miguel Rodriguez"
Mike,Mike
"Lynch, Mike (Schumer)","Mike Lynch"
"Ministry of Foreign Affairs Pakistan","Ministry of Foreign Affairs Pakistan"
Mission.IR,Mission.IR
"Hanley, Monica","Monica Hanley"
"Hanley, Monica R","Monica Hanley"
HanleyMR@state.gov,"Monica Hanley"
hanleymr@state.gov,"Monica Hanley"
monica.hanley,"Monica Hanley"
Monrovia,Monrovia
"Yunus, Muhammad","Muhammad Yunus"
NHLA,NHLA
nancy,"Nancy Parrish"
"Pelosi, Nancy","Nancy Pelosi"
"Neera, Tanden","Neera Tanden"
"Tandem, Neera","Neera Tanden"
"Tanden, Neera","Neera Tanden"
ntanden,"Neera Tanden"
automailer-093,"New York State DMV"
"info 4","New York State DMV"
"info 5","New York State DMV"
"no-reply 7","New York State DMV"
"New York Times","New York Times"
"Norman, Nicholas","Nicholas Norman"
"Sarkozy, Nicolas","Nicolas Sarkozy"
"Abbaszadeh, Nima","Nima Abbaszadeh"
AbbaszadehN@state.gov,"Nima Abbaszadeh"
"Toiv, Nora","Nora Toiv"
"Toiv, Nora F","Nora Toiv"
nora.toiv,"Nora Toiv"
toivnf@state.gov,"Nora Toiv"
"Tov, Nora F","Nora Tov"
"Opinion Research","Opinion Research"
"Sanchez, Oscar Arias","Oscar Arias Sanchez"
"Flores, Oscar","Oscar Flores"
"Lores, Oscar","Oscar Lores"
PREINES;H,PREINES;H
PVervee,PVervee
"Nazary, Parnian","Parnian Nazary"
"Kennedy, Patrick F","Patrick Kennedy"
"M:Kennedy, Patrick F","Patrick Kennedy"
kennedypf@state.gov,"Patrick Kennedy"
"Collier, Paul","Paul Collier"
"Jones, Paul W","Paul Jones"
"NEA/IPA:Knopf, Payton","Payton Knopf"
"Robinson, Peter","Peter Robinson"
"Crowley, Philip","Philip Crowley"
"Crowley, Philip J","Philip Crowley"
CrowleyPJ@state.gov,"Philip Crowley"
"Gordon, Philip H","Philip Gordon"
"Gordon. Philip H","Philip Gordon"
gordonph@state.gov,"Philip Gordon"
Philippe,Philippe
PIR,"Philippe Reines"
"Reines, Philipe I","Philippe Reines"
"Reines, Philippe","Philippe Reines"
"Reines, Philippe ","Philippe Reines"
"Reines, Philippe I","Philippe Reines"
"Reines, Phillippe I","Philippe Reines"
"Rines, Philippe I","Philippe Reines"
preines,"Philippe Reines"
reines@state.gov,"Philippe Reines"
reinesp@state.gov,"Philippe Reines"
"Crowley, Phillip J","Phillip Crowley"
crowleypj@state.gov,"Phillip Crowley"
"Campbell, Piper","Piper Campbell"
Powellnj@state.gov,Powellnj@state.gov
"Prime Minister","Prime Minister"
"Deanehan,  R","R Deanehan"
"Deanehan, R","R Deanehan"
"Kleinfeld, Rachel","Rachel Kleinfeld"
"Emanuel, Rahm","Rahm Emanuel"
"Shah, Rajiv","Rajiv Shah"
rshah,"Rajiv Shah"
rshah@usaid.gov,"Rajiv Shah"
"Lopes da Silva, Ramiro","Ramiro Lopes da Silva"
"Foroohar, Rana","Rana Foroohar"
Record,Record
Recos,Recos
"Philippe, Reines","Reines Philippe"
"Rendon Group","Rendon Group"
"Preval, Rene","Rene Preval"
"Republican Members","Republican Members"
"Lewis, Reta Jo","Reta Jo Lewis"
"Fernandez, Richard R","Richard Fernandez"
"Holbrooke, Richard","Richard Holbrooke"
HolbrookeRC@state.gov,"Richard Holbrooke"
"Morningstar, Richard L","Richard Morningstar"
"Verma, Richard","Richard Verma"
"Verma, Richard R","Richard Verma"
VermaRR@state.gov,"Richard Verma"
rverma,"Richard Verma"
vermarr@state.gov,"Richard Verma"
rsloan,"Rick Sloan"
"Barnett, Robert B","Robert Barnett"
"Blake, Robert O","Robert Blake"
BlakeR2@State.gov,"Robert Blake"
BlakeR2@state.gov,"Robert Blake"
"Danford, Robert A","Robert Danford"
"Gates, Robert M","Robert Gates"
r_m_gates,"Robert Gates"
"Hormats, Robert D","Robert Hormats"
hormatsrd@state.gov,"Robert Hormats"
"Kagan, Robert","Robert Kagan"
robert.kagan,"Robert Kagan"
"Mueller, Rober S","Robert Mueller"
"Russo, Robert","Robert Russo"
"Russo, Robert  V","Robert Russo"
"Russo, Robert V","Robert Russo"
Russorv@state.gov,"Robert Russo"
rrussony,"Robert Russo"
russorv@state.gov,"Robert Russo"
JacobsonRS@state.gov,"Roberta Jacobson"
rodriguezme@state.gov,"Rodriguez Miguel"
"Klain, Ron","Ron Klain"
Ros-Lehtinen,Ros-Lehtinen
"Howe, Rosemarie","Rosemarie Howe"
"rosemarie.howe ;H","Rosemarie Howe ;Hillary Clinton"
